strain	date	country	continent
PQ168521.1	2024-03-01	Brazil	South America
PQ168522.1	2024-03-01	Brazil	South America
PQ168523.1	2024-03-06	Brazil	South America
PQ168524.1	2024-03-06	Brazil	South America
PQ168525.1	2024-03-07	Brazil	South America
PQ168526.1	2024-03-08	Brazil	South America
PQ168527.1	2024-03-11	Brazil	South America
PQ168528.1	2024-03-11	Brazil	South America
PQ168529.1	2024-03-11	Brazil	South America
PQ168530.1	2024-03-14	Brazil	South America
PQ168531.1	2024-03-14	Brazil	South America
PQ168532.1	2024-03-14	Brazil	South America
PQ168533.1	2024-03-10	Brazil	South America
PQ168534.1	2024-03-14	Brazil	South America
PQ168535.1	2024-03-17	Brazil	South America
PQ168536.1	2024-03-18	Brazil	South America
PQ168537.1	2024-03-18	Brazil	South America
PQ168538.1	2024-03-18	Brazil	South America
PQ168539.1	2024-03-18	Brazil	South America
PQ168540.1	2024-03-20	Brazil	South America
PQ168541.1	2024-03-19	Brazil	South America
PQ168542.1	2024-03-18	Brazil	South America
PQ168543.1	2024-03-19	Brazil	South America
PQ168544.1	2024-03-20	Brazil	South America
PQ168545.1	2024-03-19	Brazil	South America
PQ168546.1	2024-03-20	Brazil	South America
PQ168547.1	2024-03-20	Brazil	South America
PQ168548.1	2024-04-09	Brazil	South America
PQ168549.1	2024-04-03	Brazil	South America
PQ168550.1	2024-04-09	Brazil	South America
PQ168551.1	2024-04-10	Brazil	South America
PQ168552.1	2024-04-16	Brazil	South America
PQ168553.1	2024-04-17	Brazil	South America
PQ168554.1	2024-04-23	Brazil	South America
PQ168555.1	2024-04-24	Brazil	South America
PQ168556.1	2024-04-24	Brazil	South America
PQ168557.1	2024-04-25	Brazil	South America
PQ168558.1	2024-04-25	Brazil	South America
PQ168559.1	2024-04-24	Brazil	South America
PQ168560.1	2024-04-25	Brazil	South America
PQ185966.1	2024-04-22	Brazil	South America
PQ185967.1	2024-04-25	Brazil	South America
PQ189435.1	2024-04-17	Brazil	South America
PQ189436.1	2024-04-25	Brazil	South America
PQ189437.1	2024-05-09	Brazil	South America
PQ189438.1	2024-05-16	Brazil	South America
PQ189439.1	2024-05-17	Brazil	South America
PQ189440.1	2024-05-27	Brazil	South America
PQ189441.1	2024-06-04	Brazil	South America
PQ189442.1	2024-06-06	Brazil	South America
PQ189443.1	2024-06-10	Brazil	South America
PQ189444.1	2024-06-12	Brazil	South America
PQ189445.1	2024-06-26	Brazil	South America
PQ197202.1	2024-06-07	Brazil	South America
PQ197394.1	2024-01-22	Brazil	South America
PQ197397.1	2024-04-12	Brazil	South America
PQ197400.1	2024-04-15	Brazil	South America
PQ197403.1	2024-04-22	Brazil	South America
PQ197406.1	2024-03-24	Brazil	South America
PQ197409.1	2024-04-17	Brazil	South America
PQ197412.1	2024-04-17	Brazil	South America
PQ199991.1	2024-04-17	Brazil	South America
PQ200000.1	2024-04-18	Brazil	South America
PQ200003.1	2024-04-23	Brazil	South America
PQ200021.1	2024-04-30	Brazil	South America
